id,name,obl_id,rayon_id,date_harvested,spatial_refernce
0,U_01_001,01,001,2021-03-31,32642
1,U_01_002,01,002,2021-03-31,32642
2,U_01_003,01,003,2021-03-31,32642
3,U_01_004,01,004,2021-03-31,32642
4,U_01_005,01,005,2021-03-31,32642
5,U_01_006,01,006,2021-03-31,32642
6,U_01_007,01,007,2021-03-31,32642
7,U_01_008,01,008,2021-03-31,32642
8,U_01_009,01,009,2021-03-31,32642
9,U_01_011,01,011,2021-03-31,32642
10,U_01_012,01,012,2021-03-31,32642
11,U_01_014,01,014,2021-03-31,32642
12,U_01_015,01,015,2021-03-31,32642
13,U_01_016,01,016,2021-03-31,32642
14,U_01_017,01,017,2021-03-31,32642
15,U_01_018,01,018,2021-03-31,32642
16,U_01_019,01,019,2021-03-31,32642
17,U_01_160,01,160,2021-03-31,32642
18,U_01_171,01,171,2021-03-31,32642
19,U_01_172,01,172,2021-03-31,32642
20,U_01_173,01,173,2021-03-31,32642
21,U_01_174,01,174,2021-03-31,32642
22,U_01_176,01,176,2021-03-31,32642
23,U_01_177,01,177,2021-03-31,32642
24,U_01_275,01,275,2021-03-31,32642
25,U_01_277,01,277,2021-03-31,32642
26,U_01_278,01,278,2021-03-31,32642
27,U_01_283,01,283,2021-03-31,32642
28,U_01_284,01,284,2021-03-31,32642
29,U_01_285,01,285,2021-03-31,32642
30,U_02_022,02,022,2021-03-31,32642
31,U_02_023,02,023,2021-03-31,32642
32,U_02_024,02,024,2021-03-31,32642
33,U_02_025,02,025,2021-03-31,32642
34,U_02_027,02,027,2021-03-31,32642
35,U_02_028,02,028,2021-03-31,32642
36,U_02_029,02,029,2021-03-31,32642
37,U_02_031,02,031,2021-03-31,32642
38,U_02_032,02,032,2021-03-31,32642
39,U_02_033,02,033,2021-03-31,32642
40,U_02_034,02,034,2021-03-31,32642
41,U_02_035,02,035,2021-03-31,32642
42,U_02_036,02,036,2021-03-31,32642
43,U_02_037,02,037,2021-03-31,32642
44,U_02_038,02,038,2021-03-31,32642
45,U_02_039,02,039,2021-03-31,32642
46,U_02_040,02,040,2021-03-31,32642
